,rank,title,total_ratings,installs_in_millions,average_rating,growth_30_days,growth_60_days,price,category,5_star_ratings,4_star_ratings,3_star_ratings,2_star_ratings,1_star_ratings,5_star_percent,4_star_percent,3_star_percent,2_star_percent,1_star_percent,paid
259,60,Granny: Chapter Two,784985,50.0,4,4.4,9.6,0.0,GAME ARCADE,587579,62902,32887,21327,80287,74.85,8.01,4.19,2.72,10.23,False
260,61,Geometry Dash,777941,1.0,4,0.7,1.3,1.99,GAME ARCADE,636912,73308,24749,9026,33945,81.87,9.42,3.18,1.16,4.36,True
261,62,Jewels Switch,752635,10.0,4,0.0,0.1,0.0,GAME ARCADE,603783,86183,31653,9078,21935,80.22,11.45,4.21,1.21,2.91,False
262,63,LokiCraft,715951,50.0,4,7.3,16.5,0.0,GAME ARCADE,483133,69181,37056,24468,102110,67.48,9.66,5.18,3.42,14.26,False
263,64,Stupid Zombies,693956,50.0,4,0.9,1.9,0.0,GAME ARCADE,463486,77216,51767,26398,75087,66.79,11.13,7.46,3.8,10.82,False
264,65,Stick Hero,690642,10.0,4,0.0,0.0,0.0,GAME ARCADE,457100,98199,54710,19396,61235,66.18,14.22,7.92,2.81,8.87,False
265,66,Sonic Dash 2: Sonic Boom,662256,100.0,4,0.8,863.6,0.0,GAME ARCADE,469634,59835,38697,23160,70927,70.91,9.04,5.84,3.5,10.71,False
266,67,Sky Whale,660553,10.0,4,0.1,0.3,0.0,GAME ARCADE,483682,62930,37560,17430,58950,73.22,9.53,5.69,2.64,8.92,False
267,68,Space shooter - Galaxy attack - Galaxy shooter,656039,50.0,4,4.6,10.4,0.0,GAME ARCADE,555192,41420,18778,9270,31377,84.63,6.31,2.86,1.41,4.78,False
268,69,Sky Roller,636293,100.0,4,2.1,4.8,0.0,GAME ARCADE,455906,62932,29296,20066,68091,71.65,9.89,4.6,3.15,10.7,False
269,70,Geometry Dash SubZero,626542,50.0,4,2.6,4.7,0.0,GAME ARCADE,484878,59816,27043,11050,43753,77.39,9.55,4.32,1.76,6.98,False
270,71,Color Bump 3D,621232,100.0,3,1117.1,1107.1,0.0,GAME ARCADE,367867,71578,67163,34403,80219,59.22,11.52,10.81,5.54,12.91,False
271,72,Draw it,620257,50.0,3,0.9,1.9,0.0,GAME ARCADE,355568,93220,54643,31418,85405,57.33,15.03,8.81,5.07,13.77,False
272,73,Fernanfloo,609853,10.0,4,0.2,0.4,0.0,GAME ARCADE,522395,32985,15337,7428,31705,85.66,5.41,2.51,1.22,5.2,False
273,74,Cartoon Wars,588562,10.0,4,0.0,0.0,0.0,GAME ARCADE,376960,58234,42194,17599,93573,64.05,9.89,7.17,2.99,15.9,False
274,75,Run,581821,10.0,4,77.5,0.3,0.0,GAME ARCADE,450597,64012,26420,9972,30817,77.45,11.0,4.54,1.71,5.3,False
275,76,Snake VS Block,572863,50.0,4,0.1,0.2,0.0,GAME ARCADE,323922,96008,55435,27358,70138,56.54,16.76,9.68,4.78,12.24,False
276,77,Zombie World War,561461,10.0,4,0.0,0.1,0.0,GAME ARCADE,344081,93766,60771,20160,42680,61.28,16.7,10.82,3.59,7.6,False
277,78,My Boy! Free - GBA Emulator,556766,10.0,4,0.3,0.6,0.0,GAME ARCADE,417025,52081,24677,10020,52961,74.9,9.35,4.43,1.8,9.51,False
278,79,Burrito Bison: Launcha Libre,541549,10.0,4,1.4,2.4,0.0,GAME ARCADE,450604,55216,17728,5449,12549,83.21,10.2,3.27,1.01,2.32,False
279,80,Bricks Ball Crusher,532569,10.0,4,2.7,5.9,0.0,GAME ARCADE,395621,48350,27559,12339,48696,74.29,9.08,5.17,2.32,9.14,False
280,81,Daddy Long Legs,532176,10.0,4,0.0,0.0,0.0,GAME ARCADE,353695,83149,33681,15527,46122,66.46,15.62,6.33,2.92,8.67,False
281,82,Galactic Attack - Classic Shooter : Falcon Squad,509654,50.0,4,1.8,3.0,0.0,GAME ARCADE,407365,41520,18908,9863,31996,79.93,8.15,3.71,1.94,6.28,False
282,83,Stickman Hook,506876,50.0,3,0.5,1.2,0.0,GAME ARCADE,290763,74910,50722,25625,64853,57.36,14.78,10.01,5.06,12.79,False
